# Frozen sample - do not edit by hand, do not re-draw without --force.
# seed=20260820  n=500  frame_size=2362322
# snapshot=BasicCompanyDataAsOneFile-2026-08-01.zip
# snapshot_sha256=dd625ad9b37c023c3cd8d942467d0a8348608bee15c13a4a9db1927e7ff23c21
# numpy=2.4.4 (default_rng/PCG64)
# stratified on sector_group x size_band (20 cells), proportional allocation.
# age_band is recorded but NOT stratified on.
# exclusions applied in order (removed -> remaining):
#   all rows in snapshot: removed 0 -> remaining 5695465
#   CompanyStatus = 'Active': removed 505001 -> remaining 5190464
#   SIC present: removed 216285 -> remaining 4974179
#   SIC not 99999 / 74990: removed 137480 -> remaining 4836699
#   accounts not DORMANT: removed 476051 -> remaining 4360648
#   SIC division is supplier-like: removed 1998326 -> remaining 2362322
# no generated-at timestamp on purpose: the same seed must give a byte-identical file.
company_number,company_name,reg_address_line1,reg_post_town,reg_postcode,sic_code,sic_text,accounts_category,incorporation_date,sector_group,size_band,age_band,holdout
09469066,MARK TAYLOR MARKETING LIMITED,THE STATION HOUSE,ST. IVES,PE27 5BH,73110,Advertising agencies,TOTAL EXEMPTION FULL,03/03/2015,business_services,small,old,False
09499705,VOON CLOUD CONSULTING & SOLUTIONS LIMITED,HIGHLAND HOUSE 165 THE BROADWAY,LONDON,SW19 1NE,62020,Information technology consultancy activities,TOTAL EXEMPTION FULL,19/03/2015,business_services,small,old,True
09571995,ACROSS 110TH LTD.,95 PRINCESS ROAD,POOLE,BH12 1BQ,70229,Management consultancy activities other than financial management,MICRO ENTITY,01/05/2015,business_services,micro,old,False
09593632,MARIAN RATA DRIVER LTD,20 DANESMORE GARDENS,WOLVERHAMPTON,WV11 2PE,49410,Freight transport by road,MICRO ENTITY,15/05/2015,transport_logistics,micro,old,False
09625689,ETI LOGISTICS SUPPORT LTD,151 ADDINGTON RD ADDINGTON ROAD,WELLINGBOROUGH,NN9 5UP,74909,"Other professional, scientific and technical activities n.e.c.",TOTAL EXEMPTION FULL,05/06/2015,business_services,small,old,False
09663544,D MURPHY ACCOUNTANCY LIMITED,3 BUDDLEIA AVENUE,LICHFIELD,WS13 8LL,69201,Accounting and auditing activities,MICRO ENTITY,30/06/2015,business_services,micro,old,False
09737788,ACCESS GROUP INDUSTRIAL SERVICES LIMITED,TUDOR HOUSE FIRST FLOOR,CARDIFF,CF11 9LJ,42990,Construction of other civil engineering projects n.e.c.,TOTAL EXEMPTION FULL,18/08/2015,construction_trades,small,old,False
09765910,AUTOMATION CONTROL TECHNOLOGY LTD,30 OAKFIELD ROAD,MALVERN,WR14 1DT,27900,Manufacture of other electrical equipment,MICRO ENTITY,07/09/2015,manufacturing,micro,old,False
09830681,PMI COMMERCIAL LTD,"DEVONSHIRE HOUSE, C/O SHENKERS",BOREHAMWOOD,WD6 1QQ,45200,Maintenance and repair of motor vehicles,TOTAL EXEMPTION FULL,19/10/2015,wholesale_retail,small,old,False
09880998,POLGLASS BUILDERS LIMITED,1 LANSDOWNE GROVE,LONDON,NW10 1PL,41100,Development of building projects,MICRO ENTITY,19/11/2015,construction_trades,micro,old,False
09992054,MY UTILITY CONNEXIONS LIMITED,16 SINGLETON AVENUE,BOLTON,BL2 6JG,42220,Construction of utility projects for electricity and telecommunications,MICRO ENTITY,08/02/2016,construction_trades,micro,mid,True
09993193,RJ  PLUMBING AND HEATING LTD,PORTLAND HOUSE,KETTERING,NN15 7HH,43220,"Plumbing, heat and air-conditioning installation",TOTAL EXEMPTION FULL,08/02/2016,construction_trades,small,mid,False
10065887,LUX HEALTH TECHNOLOGIES LTD,16 QUEEN ANNE'S GATE,LONDON,SW1H 9AA,72190,Other research and experimental development on natural sciences and engineering,TOTAL EXEMPTION FULL,16/03/2016,business_services,small,mid,False
10089180,TRANZFORMIS LIMITED,43 DAWLISH AVENUE,LONDON,N13 4HP,62020,Information technology consultancy activities,TOTAL EXEMPTION FULL,29/03/2016,business_services,small,mid,True
10154496,D & G ENGINEERING SERVICES LTD,24 LAWES WAY,BARKING,IG11 0PD,74909,"Other professional, scientific and technical activities n.e.c.",MICRO ENTITY,28/04/2016,business_services,micro,mid,False
10319624,PLASMA METAL ART LIMITED,"UNIT 2,",LIVERPOOL,L31 8AW,25990,Manufacture of other fabricated metal products n.e.c.,TOTAL EXEMPTION FULL,09/08/2016,manufacturing,small,mid,False
10377552,RED SKY SHEPHERDS HUTS LIMITED,FULFORD HOUSE,LEAMINGTON SPA,CV32 4EA,42990,Construction of other civil engineering projects n.e.c.,TOTAL EXEMPTION FULL,15/09/2016,construction_trades,small,mid,True
10436528,SKINPHARMA LIMITED,26 ROYAL GEORGE DRIVE,STOCKTON-ON-TEES,TS16 0RU,74909,"Other professional, scientific and technical activities n.e.c.",MICRO ENTITY,19/10/2016,business_services,micro,mid,False
10551165,BIRCHWOOD ENERGY ASSOCIATES LIMITED,60 HIGH FAWR AVENUE,OWESTRY,SY11 1TB,71122,Engineering related scientific and technical consulting activities,MICRO ENTITY,06/01/2017,business_services,micro,mid,False
10553772,BESPIN RESEARCH LTD,35 LAMB HILL,BRISTOL,BS5 8JD,26400,Manufacture of consumer electronics,MICRO ENTITY,09/01/2017,manufacturing,micro,mid,False
10626390,ARTSY LTD,38 ELKSTONE ROAD,LIVERPOOL,L11 2TD,73110,Advertising agencies,MICRO ENTITY,17/02/2017,business_services,micro,mid,False
10643839,MAPACH LIMITED,SECOND FLOOR KENNEL CLUB HOUSE,AYLESBURY,HP19 8DB,52219,"Other service activities incidental to land transportation, n.e.c.",MICRO ENTITY,28/02/2017,transport_logistics,micro,mid,False
10648400,STUDIO GRIFF LTD,UNIT A ST ANDREWS COURT,THAME,OX9 3WT,82990,Other business support service activities n.e.c.,UNAUDITED ABRIDGED,02/03/2017,business_services,small,mid,False
10691545,ACE ELECTRICIANS LIMITED,51 FISHER ROAD,HARROW,HA3 7JX,43210,Electrical installation,MICRO ENTITY,27/03/2017,construction_trades,micro,mid,False
10696533,R25R26BGP001 LIMITED,5 TANNERS COURT,CHIPPING NORTON,OX7 3RP,71129,Other engineering activities,MICRO ENTITY,29/03/2017,business_services,micro,mid,False
10704263,ARI TRADERS LIMITED,"UNIT A UNIT A, 37 WORSLEY ROAD",MANCHESTER,M30 8PB,13923,manufacture of household textiles,MICRO ENTITY,03/04/2017,manufacturing,micro,mid,False
10733091,RDP LIFE SCIENCES LIMITED,13 COPSE WAY,CAMBRIDGE,CB2 8BJ,72110,Research and experimental development on biotechnology,MICRO ENTITY,20/04/2017,business_services,micro,mid,True
10856177,AD AUTOS LTD,96 CHURCH LANE,STOCKPORT,SK6 7AR,45200,Maintenance and repair of motor vehicles,MICRO ENTITY,07/07/2017,wholesale_retail,micro,mid,False
10963269,ISLANDSHIRE LIMITED,1 FIELD HOUSE TERRACE,DURHAM,DH1 4NA,41100,Development of building projects,TOTAL EXEMPTION FULL,14/09/2017,construction_trades,small,mid,False
11000841,LE-VAP LIMITED,2 APPLEWOOD CLOSE,LONDON,N20 9JW,46450,Wholesale of perfume and cosmetics,MICRO ENTITY,06/10/2017,wholesale_retail,micro,mid,False
11104969,LYDIA ROSE PROMOTIONS LIMITED,1 BEAUCHAMP COURT,BARNET,EN5 5TZ,82990,Other business support service activities n.e.c.,TOTAL EXEMPTION FULL,11/12/2017,business_services,small,mid,False
11108641,EGAR CONSULTING LTD,75 SALISBURY ROAD,MAIDSTONE,ME14 2TY,70229,Management consultancy activities other than financial management,MICRO ENTITY,12/12/2017,business_services,micro,mid,False
11157482,MARIUSZ ZERA LTD,7 JERRISONS PLACE,BURTON-ON-TRENT,DE14 3UB,49410,Freight transport by road,MICRO ENTITY,18/01/2018,transport_logistics,micro,mid,False
11165324,OVANCE INTERNATIONAL LTD,124 CITY ROAD,LONDON,EC1V 2NJ,78109,Other activities of employment placement agencies,TOTAL EXEMPTION FULL,23/01/2018,business_services,small,mid,False
11173402,BROAD REACH HOSPITALITY LTD,EASTCASTLE HOUSE,LONDON,W1W 8DH,82990,Other business support service activities n.e.c.,MICRO ENTITY,29/01/2018,business_services,micro,mid,False
11176058,JAAC HOLDINGS LTD,UNIT C3 SPELDHURST BUSINESS PARK LANGTON ROAD,TUNBRIDGE WELLS,TN3 0AQ,70229,Management consultancy activities other than financial management,TOTAL EXEMPTION FULL,29/01/2018,business_services,small,mid,False
11220666,RJJENERGY LTD,LOTHING HOUSE,LOWESTOFT,NR32 2HD,42990,Construction of other civil engineering projects n.e.c.,TOTAL EXEMPTION FULL,22/02/2018,construction_trades,small,mid,True
11262445,SANDPIPER GLOBAL LIMITED,85 GREAT PORTLAND STREET,LONDON,W1W 7LT,46900,Non-specialised wholesale trade,MICRO ENTITY,19/03/2018,wholesale_retail,micro,mid,False
11271322,COOPER ENGAGEMENT AND COMMUNICATIONS LIMITED,3 THE ORCHARD,STOGUMBER,TA4 3TL,70210,Public relations and communications activities,MICRO ENTITY,22/03/2018,business_services,micro,mid,False
11282541,MAX ASBESTOS SERVICES LIMITED,"KHAN THORNTON, 14-18 HERALDS WAY",CHELMSFORD,CM3 5TQ,71122,Engineering related scientific and technical consulting activities,MICRO ENTITY,29/03/2018,business_services,micro,mid,False
11304135,R WATKINS PROPERTY MAINTENANCE LTD,1ST FLOOR RICHARD WHITING HOUSE,GLASTONBURY,BA6 8BS,43220,"Plumbing, heat and air-conditioning installation",MICRO ENTITY,11/04/2018,construction_trades,micro,mid,False
11354796,CARTIERE CARRARA UK LIMITED,253 GRAY'S INN ROAD,LONDON,WC1X 8QT,46900,Non-specialised wholesale trade,FULL,10/05/2018,wholesale_retail,larger,mid,False
11356951,MEDINA NOTTINGHAM LTD,64 CASTLE BOULEVARD,NOTTINGHAM,NG7 1FN,41100,Development of building projects,UNAUDITED ABRIDGED,11/05/2018,construction_trades,small,mid,False
11376537,UK 3D TILES LIMITED,60 SEDCOTE ROAD,ENFIELD,EN3 4RG,43999,Other specialised construction activities n.e.c.,MICRO ENTITY,22/05/2018,construction_trades,micro,mid,True
11378521,RUDD ELECTRICAL CONTRACTORS LTD,"TOP FLOOR, CORNER HOUSE",BRAINTREE,CM7 3HQ,43210,Electrical installation,TOTAL EXEMPTION FULL,23/05/2018,construction_trades,small,mid,False
11439127,PELLOW ROOFING LTD,3 & 4 STATION ROAD,REDRUTH,TR15 2AB,43910,Roofing activities,TOTAL EXEMPTION FULL,28/06/2018,construction_trades,small,mid,False
11501419,VOX CONSULTING LTD,THOMAS & ELLIS,"WILTSHIRE, BRADFORD ON AVON",BA15 1JX,62020,Information technology consultancy activities,MICRO ENTITY,06/08/2018,business_services,micro,mid,True
11588953,CHELSEA BUILD AND DESIGN LIMITED,102 CULVERT ROAD,LONDON,SW11 5AX,43390,Other building completion and finishing,MICRO ENTITY,26/09/2018,construction_trades,micro,mid,False
11639877,PAPERCLIP FINANCIALS LTD,227 PORTLAND CRESCENT,STANMORE,HA7 1LP,69201,Accounting and auditing activities,MICRO ENTITY,24/10/2018,business_services,micro,mid,False
11686196,GLOW LONDON LIMITED,46 BROOKBANK CLOSE,CHELTENHAM,GL50 3NB,74909,"Other professional, scientific and technical activities n.e.c.",TOTAL EXEMPTION FULL,20/11/2018,business_services,small,mid,False
11686197,ECORP CONSULTING LTD,MYNSHULL HOUSE,STOCKPORT,SK1 1YJ,62020,Information technology consultancy activities,MICRO ENTITY,20/11/2018,business_services,micro,mid,False
11687753,BLACK SUNRISE LTD,321-323 HIGH ROAD 321-323 HIGH ROAD,ROMFORD,RM6 6AX,47710,Retail sale of clothing in specialised stores,MICRO ENTITY,20/11/2018,wholesale_retail,micro,mid,False
11720151,G N R DESIGN AND BUILD LTD,25 MORNINGTON CRESCENT,HOUNSLOW,TW5 9ST,41201,Construction of commercial buildings,MICRO ENTITY,10/12/2018,construction_trades,micro,mid,True
11730272,MOVTEK LTD,APOLLO HOUSE,WHITEHILLS BUSINESS PARK,FY4 5FS,62020,Information technology consultancy activities,MICRO ENTITY,17/12/2018,business_services,micro,mid,True
11857668,MAKSREC LTD,23 CHIMNEY CRESCENT,WELLINGBOROUGH,NN9 5WF,47910,Retail sale via mail order houses or via Internet,MICRO ENTITY,04/03/2019,wholesale_retail,micro,mid,False
11958694,SAMREEN TRANSPORT LTD,30 ASPEN GARDENS,ASHFORD,TW15 1ED,49410,Freight transport by road,UNAUDITED ABRIDGED,23/04/2019,transport_logistics,small,mid,False
11974803,JDU INSPECTION SERVICES LIMITED,61 PRESTON NEW ROAD,SOUTHPORT,PR9 8PA,71122,Engineering related scientific and technical consulting activities,MICRO ENTITY,02/05/2019,business_services,micro,mid,False
12019503,1COUNSEL LIMITED,188 WESTBOURNE PARK ROAD,LONDON,W11 1BT,70229,Management consultancy activities other than financial management,TOTAL EXEMPTION FULL,28/05/2019,business_services,small,mid,False
12019620,COGNIS CONSULTING LTD,"SUITE 5, 5TH FLOOR CITY REACH",LONDON,E14 9NN,70229,Management consultancy activities other than financial management,MICRO ENTITY,28/05/2019,business_services,micro,mid,False
12090937,WE DO STORAGE LTD,UNIT ONE HIGH STREET,MANCHESTER,M43 7AF,47190,Other retail sale in non-specialised stores,MICRO ENTITY,08/07/2019,wholesale_retail,micro,mid,False
12328246,TIMEPIECE LEICESTER LTD,49 A GALLOWTREE GATE,LEICESTER,LE1 5AD,47789,Other retail sale of new goods in specialised stores (not commercial art galleries and opticians),TOTAL EXEMPTION FULL,22/11/2019,wholesale_retail,small,mid,False
12362092,SUPREME ICT SOLUTION (UK) LTD,19 CLIFTON AVENUE,WEMBLEY,HA9 6BN,62090,Other information technology service activities,TOTAL EXEMPTION FULL,13/12/2019,business_services,small,mid,False
12417026,JC ELECTRICAL CONTRACTORS MIDLANDS LTD,THE STABLES,DAVENTRY,NN11 4BL,43210,Electrical installation,MICRO ENTITY,21/01/2020,construction_trades,micro,mid,False
12461087,DANIEL ANDREW CONSTRUCTION LTD,24 LADYWOOD ROAD,IPSWICH,IP4 3NH,43390,Other building completion and finishing,MICRO ENTITY,13/02/2020,construction_trades,micro,mid,False
12480098,FULANI LTD,62 NORTHUMBERLAND PARK,LONDON,N17 0TZ,46420,Wholesale of clothing and footwear,MICRO ENTITY,24/02/2020,wholesale_retail,micro,mid,False
12529809,ACCOUNTSDESK LTD,"OFFICE 149, 321-323 HIGH ROAD",ROMFORD,RM6 6AX,62012,Business and domestic software development,MICRO ENTITY,23/03/2020,business_services,micro,mid,False
12543612,UNIFIED BOXING LTD,18 THE DALE,WALTHAM ABBEY,EN9 1SU,47640,"Retail sale of sports goods, fishing gear, camping goods, boats and bicycles",TOTAL EXEMPTION FULL,01/04/2020,wholesale_retail,small,mid,False
12556510,GEORGE ROWELL LTD,"EXCHANGE CHAMBERS, 201",MANCHESTER,M3 3NW,69101,Barristers at law,TOTAL EXEMPTION FULL,15/04/2020,business_services,small,mid,False
12651735,KN TGC LIMITED,SUITE 1 CONCEPT HOUSE,HORNCHURCH,RM11 1XP,47782,Retail sale by opticians,TOTAL EXEMPTION FULL,08/06/2020,wholesale_retail,small,mid,False
12719562,A 2 Z AIRGUNS LTD,OAKTREE ACCOUNTANTS LTD,ANDOVER,SP10 1BW,47640,"Retail sale of sports goods, fishing gear, camping goods, boats and bicycles",MICRO ENTITY,05/07/2020,wholesale_retail,micro,mid,False
12725311,ALESSIO-SV LTD,7A WOODCOCK HILL,HARROW,HA3 0XR,41201,Construction of commercial buildings,MICRO ENTITY,07/07/2020,construction_trades,micro,mid,False
12746286,ADVANCED ROOF TESTING LTD,62 THE PINES,HORSHAM,RH12 4UE,43999,Other specialised construction activities n.e.c.,MICRO ENTITY,15/07/2020,construction_trades,micro,mid,False
12758142,DBS AGILE SOLUTIONS LTD.,21 GARSTON,MILTON KEYNES,MK8 8ET,62020,Information technology consultancy activities,MICRO ENTITY,21/07/2020,business_services,micro,mid,False
12769506,GLOBAL ITALIAN DECOR LIMITED,6 MIDLAND ROAD,LONDON,E10 6GJ,41202,Construction of domestic buildings,MICRO ENTITY,27/07/2020,construction_trades,micro,mid,False
12776407,LACAENA DESIGN LTD,"ROOM 3, 79A",LONDON,N19 3NB,74100,specialised design activities,MICRO ENTITY,29/07/2020,business_services,micro,mid,False
12802945,BINDFUL BOOKS LTD,71 WATERFIELD WAY,CLIPSTONE,NG21 9FD,47610,Retail sale of books in specialised stores,MICRO ENTITY,10/08/2020,wholesale_retail,micro,mid,True
12842440,TRANSFORM AG LIMITED,C/O BEVAN BUCKLAND LLP GROUND FLOOR    CARDIGAN HOUSE,SWANSEA,SA7 9LA,74909,"Other professional, scientific and technical activities n.e.c.",TOTAL EXEMPTION FULL,27/08/2020,business_services,small,mid,False
12853773,OXUS BUSINESS CONSULTING LIMITED,C/O SG ACCOUNTING 1 CEDAR OFFICE PARK,WIMBORNE,BH21 7SB,70229,Management consultancy activities other than financial management,MICRO ENTITY,02/09/2020,business_services,micro,mid,True
12870277,MPL GROUNDWORK & BUILDING LIMITED,THE REGENT,PENZANCE,TR18 4AE,41100,Development of building projects,UNAUDITED ABRIDGED,10/09/2020,construction_trades,small,mid,False
12870908,VERTEX PRECISION LTD,UNIT 16 NEALE COURTYARD,CANVEY ISLAND,SS8 0PD,25110,Manufacture of metal structures and parts of structures,TOTAL EXEMPTION FULL,10/09/2020,manufacturing,small,mid,False
12900641,CONRAD KOSLOWSKY ARCHITECTS LTD,UNITS 2 & 3 WEST DOWN FARM,SHERBORNE,DT9 4LG,71111,Architectural activities,MICRO ENTITY,23/09/2020,business_services,micro,mid,False
12945171,MJM 1 TRANSPORT LTD,60 ROSEBANK ROAD,LIVERPOOL,L36 3AB,49410,Freight transport by road,MICRO ENTITY,12/10/2020,transport_logistics,micro,mid,False
12947093,C J ANTHONY BESPOKE LIMITED,AP SMART FASHION LTD (UNIT D4) NORTHSIDE HOUSE,COCKFOSTERS,EN4 9EB,46190,Agents involved in the sale of a variety of goods,MICRO ENTITY,13/10/2020,wholesale_retail,micro,mid,False
12953681,PREMIER SPACES LIMITED,30 MONARCH PARADE,MITCHAM,CR4 3HA,43999,Other specialised construction activities n.e.c.,MICRO ENTITY,15/10/2020,construction_trades,micro,mid,False
12976602,CV PRIME LTD,143 CONNAUGHT AVENUE,FRINTON-ON-SEA,CO13 9PS,78300,Human resources provision and management of human resources functions,TOTAL EXEMPTION FULL,27/10/2020,business_services,small,mid,False
12977395,UK SWEET ONE LTD,5A ELLESMERE GARDENS,ILFORD,IG4 5DA,47750,Retail sale of cosmetic and toilet articles in specialised stores,MICRO ENTITY,27/10/2020,wholesale_retail,micro,mid,False
12983899,CARCODE LIMITED,UNIT A,MILDENHALL,IP28 7DE,27900,Manufacture of other electrical equipment,TOTAL EXEMPTION FULL,29/10/2020,manufacturing,small,mid,False
13020765,B&B AUTOS LTD,UNIT 13,WELWYN GARDEN CITY,AL7 1EP,45112,Sale of used cars and light motor vehicles,MICRO ENTITY,15/11/2020,wholesale_retail,micro,mid,False
13028781,K20 MOTORS LIMITED,16 HOLTYE CRESCENT,MAIDSTONE,ME15 7DB,45112,Sale of used cars and light motor vehicles,TOTAL EXEMPTION FULL,18/11/2020,wholesale_retail,small,mid,False
13035421,KOAN ADVISORY LTD,14 LANEWOOD CLOSE,AMERSHAM,HP7 9JL,62020,Information technology consultancy activities,MICRO ENTITY,20/11/2020,business_services,micro,mid,False
13078450,ABI ADAMSON LTD,20-22 WENLOCK ROAD,LONDON,N1 7GU,70229,Management consultancy activities other than financial management,MICRO ENTITY,11/12/2020,business_services,micro,mid,False
13193298,CHAPTER ONE DEVELOPMENTS LIMITED,16 WEST STREET,FARNHAM,GU9 7DR,41100,Development of building projects,TOTAL EXEMPTION FULL,10/02/2021,construction_trades,small,mid,True
13200587,L.D HEATING SOLUTIONS LTD,25 ERSKINE ROAD,SUTTON,SM1 3AW,43220,"Plumbing, heat and air-conditioning installation",MICRO ENTITY,15/02/2021,construction_trades,micro,mid,False
13226583,JOHNJASPER RESOURCING LTD,OUSEBURN GATEWAY,NEWCASTLE UPON TYNE,NE1 2BE,78200,Temporary employment agency activities,MICRO ENTITY,25/02/2021,business_services,micro,mid,False
13229570,FARM AND EQUESTRIAN FINANCE LTD.,UNIT 2,DULVERTON,TA22 9BF,70229,Management consultancy activities other than financial management,MICRO ENTITY,26/02/2021,business_services,micro,mid,False
13247594,M66 CAR AND COMMERCIALS LTD,16 ALL SAINTS PLACE,BURY,BL8 1ND,45200,Maintenance and repair of motor vehicles,TOTAL EXEMPTION FULL,05/03/2021,wholesale_retail,small,mid,False
13261922,LUCY LOUS BOUTIQUE (PENWORTHAM) LTD,50 LIVERPOOL ROAD,PRESTON,PR1 0DQ,47710,Retail sale of clothing in specialised stores,MICRO ENTITY,12/03/2021,wholesale_retail,micro,mid,False
13266786,THE CRAFTY DOG COMPANY LIMITED,8 BOURNE GATE,POOLE,BH12 1DY,47990,"Other retail sale not in stores, stalls or markets",TOTAL EXEMPTION FULL,15/03/2021,wholesale_retail,small,mid,False
13287435,PLATINUM CHAUFFEURS UK LTD,OFFICE 29 UNIT 4200 WATERSIDE,BIRMINGHAM,B37 7YN,49390,Other passenger land transport,TOTAL EXEMPTION FULL,23/03/2021,transport_logistics,small,mid,False
13308566,DR AND SONS LIMITED,33 WEST BOROUGH,WIMBORNE,BH21 1LT,43290,Other construction installation,TOTAL EXEMPTION FULL,01/04/2021,construction_trades,small,mid,False
13314806,H2 HEAT LIMITED,12 MORTON LANE,KEIGHLEY,BD20 5RS,43220,"Plumbing, heat and air-conditioning installation",TOTAL EXEMPTION FULL,06/04/2021,construction_trades,small,mid,False
13323143,HCG PROPERTY HOLDINGS LIMITED,2ND FLOOR CUMBERLAND HOUSE,CHELTENHAM,GL50 1BB,41202,Construction of domestic buildings,TOTAL EXEMPTION FULL,08/04/2021,construction_trades,small,mid,False
13327619,D AND D CRAFTSMEN LTD,2 HICKORY DRIVE,WINCHESTER,SO22 6NJ,43220,"Plumbing, heat and air-conditioning installation",MICRO ENTITY,12/04/2021,construction_trades,micro,mid,False
13334401,APOLLO GLOBAL RESEARCH AND CONSULTANCY LIMITED,59 UNION STREET,DUNSTABLE,LU6 1EX,70229,Management consultancy activities other than financial management,MICRO ENTITY,14/04/2021,business_services,micro,mid,False
13352046,ENDORPHIN STUDIO LTD,FLAT 26,CROYDON,CR0 1UL,70210,Public relations and communications activities,MICRO ENTITY,22/04/2021,business_services,micro,mid,False
13388812,SHAURI TECHNOLOGIES LIMITED,147 ALTMORE AVENUE,LONDON,E6 2BU,62020,Information technology consultancy activities,MICRO ENTITY,11/05/2021,business_services,micro,mid,False
13422440,LOVE FLOORING ESSEX LTD.,27 OLD GLOUCESTER STREET,LONDON,WC1N 3AX,43330,Floor and wall covering,MICRO ENTITY,26/05/2021,construction_trades,micro,mid,False
13445703,GRAVENEY PRIVATE CLIENT LIMITED,51 DORSET STREET,LONDON,W1U 7NG,69102,Solicitors,MICRO ENTITY,08/06/2021,business_services,micro,mid,False
13446752,ABSURDIA LTD,71-75 SHELTON STREET,LONDON,WC2H 9JQ,62012,Business and domestic software development,MICRO ENTITY,09/06/2021,business_services,micro,mid,False
13459351,PRAGGYS RECOVERY LTD,18 WAINWRIGHT,PETERBOROUGH,PE4 5AG,45200,Maintenance and repair of motor vehicles,MICRO ENTITY,16/06/2021,wholesale_retail,micro,mid,False
13486645,EPOXY LAB LTD,71 LOUGHBOROUGH AVENUE,NOTTINGHAM,NG2 4LN,43330,Floor and wall covering,TOTAL EXEMPTION FULL,30/06/2021,construction_trades,small,mid,False
13550532,PRESTIGE AND PERFORMANCE SPARES LTD,UNIT 1A,SHEFFIELD,S3 9EB,45320,Retail trade of motor vehicle parts and accessories,MICRO ENTITY,05/08/2021,wholesale_retail,micro,mid,False
13554808,UTMOST COMMUNITY CARE LIMITED,FLAT 31 MANDARIN COURT,LONDON,SE8 5HL,78200,Temporary employment agency activities,TOTAL EXEMPTION FULL,09/08/2021,business_services,small,mid,False
13589368,ECONOSTORE LTD,8 TURNERS FIELD,HIGH WYCOMBE,HP13 5YZ,46150,"Agents involved in the sale of furniture, household goods, hardware and ironmongery",MICRO ENTITY,27/08/2021,wholesale_retail,micro,mid,False
13612673,PARAGON UMBRELLA SERVICES LTD,60 SHERINGHAM DRIVE,BARKING,IG11 9AN,78109,Other activities of employment placement agencies,MICRO ENTITY,09/09/2021,business_services,micro,mid,False
13655692,BATHFORD JOINERY LIMITED,"BATHFORD GARDENS,THE ANNEXE AT BATHFORD GARDENS,",BATH,BA1 7LR,16230,Manufacture of other builders' carpentry and joinery,TOTAL EXEMPTION FULL,01/10/2021,manufacturing,small,mid,False
13683479,WEBSTER LITTLE LTD,"CC409 COCOA HOUSE, THE BISCUIT FACTORY",LONDON,SE16 4DG,41100,Development of building projects,TOTAL EXEMPTION FULL,15/10/2021,construction_trades,small,mid,False
13697238,GLMS LAW LIMITED,M.01 TOMORROW,MEDIACITYUK,M50 2AB,69102,Solicitors,TOTAL EXEMPTION FULL,22/10/2021,business_services,small,mid,False
13717242,TANKA CONVENIENCE STORE LTD,103 MAGDALEN STREET,NORWICH,NR3 1LN,47110,"Retail sale in non-specialised stores with food, beverages or tobacco predominating",MICRO ENTITY,02/11/2021,wholesale_retail,micro,mid,False
13727578,ASP BUILDING AND RENOVATION LTD,40 MANOR FIELDS,GODALMING,GU8 5EQ,41100,Development of building projects,MICRO ENTITY,07/11/2021,construction_trades,micro,mid,False
13839069,CULPEPPER INVESTMENTS LIMITED,64 CHURCHILL ROAD,SLOUGH,SL3 7RB,74909,"Other professional, scientific and technical activities n.e.c.",TOTAL EXEMPTION FULL,10/01/2022,business_services,small,mid,False
13845767,IVOLVE 2 HEAD OFFICE LIMITED,ROYAL COURT,CHESTERFIELD,S41 7SL,70100,Activities of head offices,SMALL,13/01/2022,business_services,small,mid,True
13870242,SHIVLAKSHMI TECH LTD,18 NEALS CORNER,HOUNSLOW,TW3 3HJ,62020,Information technology consultancy activities,MICRO ENTITY,25/01/2022,business_services,micro,mid,False
13890063,LJ PROPERTY DEVELOPMENTS NW LTD,42 THE QUILLET,NESTON,CH64 9QH,41100,Development of building projects,TOTAL EXEMPTION FULL,03/02/2022,construction_trades,small,mid,False
13906746,LONGWOOD MAVEN LTD,29 WATNALL ROAD,NOTTINGHAM,NG15 7LD,70229,Management consultancy activities other than financial management,UNAUDITED ABRIDGED,10/02/2022,business_services,small,mid,False
13941220,OASIA HOLDING COMPANY LIMITED,8 BENACRE CROFT,MILTON KEYNES,MK4 3FG,82990,Other business support service activities n.e.c.,MICRO ENTITY,25/02/2022,business_services,micro,mid,False
13972629,PRO HEATING AND PLUMBING SOLUTIONS LTD,141 COOMBE WAY,PLYMOUTH,PL5 2HA,43220,"Plumbing, heat and air-conditioning installation",MICRO ENTITY,12/03/2022,construction_trades,micro,mid,False
13974134,MUSEUM SOUND DESIGN LIMITED,15 WEST STREET,BRIGHTON,BN1 2RL,74100,specialised design activities,TOTAL EXEMPTION FULL,14/03/2022,business_services,small,mid,False
13993209,MAYHILL STORES LIMITED,361 TOWNHILL ROAD,SWANSEA,SA1 6PA,47110,"Retail sale in non-specialised stores with food, beverages or tobacco predominating",MICRO ENTITY,21/03/2022,wholesale_retail,micro,mid,False
14049116,INTER G CONSTRUCTION LIMITED,21 NETHER DURFORD CLOSE,OXFORD,OX3 7FE,16230,Manufacture of other builders' carpentry and joinery,TOTAL EXEMPTION FULL,14/04/2022,manufacturing,small,mid,False
14067505,SPACE VALUE LTD,35 BISHOPS DRIVE,CREDITON,EX17 5HR,70229,Management consultancy activities other than financial management,TOTAL EXEMPTION FULL,25/04/2022,business_services,small,mid,False
14090100,MOTION MOTOR GROUP LTD,22 HIGH STREET,KETTERING,NN14 6BQ,45112,Sale of used cars and light motor vehicles,MICRO ENTITY,06/05/2022,wholesale_retail,micro,mid,True
